survived,class,sex,siblings_spouses,parents_children,fare,embarked,age,lifeboat,family_size,family_size_group,is_child,age_group
Yes,3rd,female,0,0,7.65,S,21,C,1,alone,adult,young adult
Yes,3rd,male,0,0,7.775,S,29,B,1,alone,adult,young adult
No,3rd,male,0,0,7.8958,S,38,NS,1,alone,adult,adult
Yes,3rd,female,1,0,24.15,Q,28,16,2,small,adult,young adult
No,1st,male,0,0,52,S,46,NS,1,alone,adult,adult
No,3rd,female,1,0,14.4542,C,16,NS,2,small,adult,young adult
No,3rd,male,0,0,8.05,S,22,NS,1,alone,adult,young adult
No,3rd,female,1,0,9.825,S,20,NS,2,small,adult,young adult
No,3rd,female,0,0,14.4583,C,17,NS,1,alone,adult,young adult
No,3rd,male,0,0,7.925,S,21,NS,1,alone,adult,young adult
No,3rd,male,0,0,7.75,Q,61,NS,1,alone,adult,senior
No,2nd,male,1,0,21,S,29,NS,2,small,adult,young adult
No,1st,male,0,1,247.5208,C,24,NS,2,small,adult,young adult
No,3rd,female,4,2,31.275,S,2,NS,7,medium,child,child
No,2nd,male,2,0,73.5,S,20,NS,3,small,adult,young adult
No,3rd,male,0,0,8.05,S,19,NS,1,alone,adult,young adult
No,2nd,male,1,0,30.0708,C,28,NS,2,small,adult,young adult
Yes,2nd,female,0,0,13,S,37,12,1,alone,adult,adult
No,1st,male,0,1,77.2875,S,54,NS,2,small,adult,adult
Yes,3rd,male,1,0,11.2417,C,12,C,2,small,child,child
No,3rd,male,0,0,7.75,Q,20,NS,1,alone,adult,young adult
Yes,3rd,male,0,0,7.1417,S,24,13,1,alone,adult,young adult
Yes,3rd,female,1,1,22.3583,C,2,C,3,small,child,child
No,3rd,male,0,0,6.975,S,45,NS,1,alone,adult,adult
No,3rd,male,0,0,7.8958,C,33,NS,1,alone,adult,adult
No,3rd,male,0,0,7.05,S,20,NS,1,alone,adult,young adult
No,3rd,female,1,0,14.5,S,47,NS,2,small,adult,adult
Yes,2nd,female,1,0,26,S,37,10,2,small,adult,adult
No,2nd,male,0,0,13,S,25,NS,1,alone,adult,young adult
No,2nd,male,0,0,15.0458,C,23,NS,1,alone,adult,young adult
Yes,1st,female,0,2,26.2833,S,19,5,3,small,adult,young adult
No,1st,male,1,0,53.1,S,37,NS,2,small,adult,adult
No,3rd,male,0,0,9.2167,S,16,NS,1,alone,adult,young adult
No,1st,male,0,0,79.2,C,24,NS,1,alone,adult,young adult
No,3rd,female,0,2,15.2458,C,40,NS,3,small,adult,adult
Yes,3rd,female,0,0,7.75,S,22,13,1,alone,adult,young adult
Yes,3rd,female,1,0,15.85,S,24,15,2,small,adult,young adult
No,3rd,male,0,0,6.75,Q,19,NS,1,alone,adult,young adult
No,2nd,male,0,0,11.5,S,17,NS,1,alone,adult,young adult
No,2nd,male,1,1,36.75,S,19,NS,3,small,adult,young adult
Yes,3rd,male,0,0,7.7958,S,27,A,1,alone,adult,young adult
No,3rd,female,2,2,34.375,S,7,NS,5,medium,child,child
No,2nd,male,0,2,26,S,32,NS,3,small,adult,adult
No,2nd,male,0,0,13,S,42,NS,1,alone,adult,adult
No,2nd,male,0,0,12.525,S,51,NS,1,alone,adult,adult
Yes,1st,female,1,0,66.6,S,22,8,2,small,adult,young adult
No,3rd,male,0,0,8.05,S,48,NS,1,alone,adult,adult
No,3rd,male,0,2,14.5,S,35,NS,3,small,adult,adult
No,3rd,male,0,0,7.3125,S,27,NS,1,alone,adult,young adult
No,1st,male,0,1,61.3792,C,51,NS,2,small,adult,adult
Yes,3rd,female,0,0,7.7333,Q,17,16,1,alone,adult,young adult
No,3rd,male,0,0,8.05,S,30,NS,1,alone,adult,adult
No,3rd,male,0,0,8.6625,S,37,NS,1,alone,adult,adult
No,3rd,male,8,2,69.55,S,4,NS,11,large,child,child
No,3rd,male,0,1,16.1,S,44,NS,2,small,adult,adult
Yes,2nd,female,0,0,15.75,S,40,9,1,alone,adult,adult
No,3rd,male,0,0,7.775,S,26,NS,1,alone,adult,young adult
No,3rd,male,0,0,8.6625,S,17,NS,1,alone,adult,young adult
No,3rd,male,4,1,39.6875,S,1,NS,6,medium,child,child
Yes,3rd,male,0,2,20.525,S,9,C,3,small,child,child
Yes,1st,female,0,1,55,S,48,6,2,small,adult,adult
No,3rd,female,1,4,27.9,S,43,NS,6,medium,adult,adult
No,1st,male,0,0,25.925,S,60,NS,1,alone,adult,senior
No,3rd,male,0,0,56.4958,S,24,NS,1,alone,adult,young adult
No,1st,male,0,0,33.5,S,61,NS,1,alone,adult,senior
No,3rd,male,4,1,29.125,Q,4,NS,6,medium,child,child
Yes,3rd,female,1,1,11.1333,S,1,15,3,small,child,child
No,3rd,male,0,0,7.925,S,21,NS,1,alone,adult,young adult
No,1st,male,0,0,30.6958,C,56,NS,1,alone,adult,adult
No,3rd,male,1,1,7.8542,S,18,NS,3,small,adult,young adult
No,3rd,male,3,1,25.4667,S,5,NS,5,medium,child,child
No,1st,female,0,0,28.7125,C,50,NS,1,alone,adult,adult
No,2nd,male,0,0,13,S,30,NS,1,alone,adult,adult
No,3rd,male,0,0,13.378473295454546,S,36,NS,1,alone,adult,adult
No,3rd,female,8,2,69.55,S,7,NS,11,large,child,child
No,2nd,male,0,0,15.05,C,39,NS,1,alone,adult,adult
No,3rd,male,4,2,31.3875,S,9,NS,7,medium,child,child
Yes,2nd,male,2,1,39,S,1,11,4,small,child,child
Yes,3rd,female,0,2,22.025,S,4,2,3,small,child,child
No,1st,male,0,0,50,S,38,NS,1,alone,adult,adult
Yes,3rd,female,1,0,15.5,Q,26,NA,2,small,adult,young adult
Yes,1st,male,0,0,26.55,S,45,9,1,alone,adult,adult
No,3rd,male,1,1,15.5,Q,42,NS,3,small,adult,adult
No,3rd,male,0,0,7.8958,S,36,NS,1,alone,adult,adult
Yes,2nd,female,0,0,13,S,21,9,1,alone,adult,young adult
No,2nd,male,0,0,13,S,19,NS,1,alone,adult,young adult
Yes,3rd,female,1,0,7.8542,S,19,16,2,small,adult,young adult
Yes,2nd,male,1,1,26,S,3,D,3,small,child,child
Yes,1st,female,0,0,27.7208,C,44,6,1,alone,adult,adult
Yes,1st,female,0,0,146.5208,C,59,6,1,alone,adult,adult
No,3rd,male,0,0,7.75,Q,26,NS,1,alone,adult,young adult
No,3rd,male,0,1,8.4042,S,42,NS,2,small,adult,adult
Yes,3rd,female,0,0,7.75,Q,21,15,1,alone,adult,young adult
No,2nd,female,0,0,13,S,24,NS,1,alone,adult,young adult
No,3rd,male,0,0,9.5,S,28,NS,1,alone,adult,young adult
No,3rd,male,8,2,69.55,S,16,NS,11,large,adult,young adult
No,3rd,male,0,0,6.4958,S,34,NS,1,alone,adult,adult
No,3rd,male,0,0,7.225,C,45,NS,1,alone,adult,adult
Yes,3rd,male,0,0,8.05,S,18,12,1,alone,adult,young adult
No,3rd,female,0,1,10.4625,S,2,NS,2,small,child,child
No,3rd,male,1,0,15.85,S,32,NS,2,small,adult,adult
Yes,3rd,male,0,0,18.7875,C,26,15,1,alone,adult,young adult
Yes,3rd,female,0,0,7.75,Q,16,16,1,alone,adult,young adult
Yes,1st,male,0,0,31,C,39,7,1,alone,adult,adult
No,3rd,male,0,0,7.05,S,24,NS,1,alone,adult,young adult
Yes,2nd,female,0,0,21,S,35,14,1,alone,adult,adult
No,3rd,male,0,0,7.25,S,22,NS,1,alone,adult,young adult
No,2nd,male,0,0,13,S,30,NS,1,alone,adult,adult
No,3rd,male,1,0,7.75,Q,22,NS,2,small,adult,young adult
Yes,1st,female,1,0,113.275,C,31,6,2,small,adult,adult
Yes,3rd,female,0,0,7.925,S,27,NA,1,alone,adult,young adult
No,2nd,male,1,0,27,S,40,NS,2,small,adult,adult
Yes,1st,female,0,0,76.2917,C,36,8,1,alone,adult,adult
No,2nd,male,0,0,10.5,S,30,NS,1,alone,adult,adult
Yes,3rd,male,0,0,8.05,S,20,B,1,alone,adult,young adult
No,2nd,male,0,0,13,S,29,NS,1,alone,adult,young adult
No,3rd,male,0,0,8.05,S,40,NS,1,alone,adult,adult
No,3rd,male,0,0,7.8958,S,22,NS,1,alone,adult,young adult
Yes,1st,male,1,0,90,S,35,D,2,small,adult,adult
No,3rd,male,0,0,9.35,S,22,NS,1,alone,adult,young adult
Yes,2nd,male,0,0,10.5,S,19,B,1,alone,adult,young adult
No,3rd,male,0,0,7.25,S,20,NS,1,alone,adult,young adult
No,2nd,male,0,0,13,S,18,NS,1,alone,adult,young adult
No,3rd,female,3,1,25.4667,S,12,NS,5,medium,child,child
Yes,1st,female,1,0,83.475,S,35,D,2,small,adult,adult
No,3rd,male,0,0,7.775,S,29,NS,1,alone,adult,young adult
No,2nd,male,0,0,13.5,S,30,10,1,alone,adult,adult
Yes,3rd,female,4,2,31.3875,S,5,15,7,medium,child,child
No,2nd,male,0,0,10.5,S,25,NS,1,alone,adult,young adult
No,3rd,female,0,0,7.55,S,21,NS,1,alone,adult,young adult
No,2nd,male,1,0,26,S,44,NS,2,small,adult,adult
Yes,2nd,female,0,2,26.25,S,8,14,3,small,child,child
No,2nd,male,0,0,10.5,S,19,NS,1,alone,adult,young adult
No,2nd,male,0,0,12.275,S,33,NS,1,alone,adult,adult
No,3rd,female,1,0,14.4542,C,19,NS,2,small,adult,young adult
Yes,3rd,female,1,0,15.5,Q,18,16,2,small,adult,young adult
No,2nd,male,0,0,10.5,S,29,NS,1,alone,adult,young adult
No,3rd,male,0,0,7.125,S,22,NS,1,alone,adult,young adult
No,3rd,male,0,0,7.225,C,30,NS,1,alone,adult,adult
No,1st,male,2,0,90,Q,44,NS,3,small,adult,adult
No,3rd,female,0,0,7.775,S,25,NS,1,alone,adult,young adult
Yes,2nd,female,0,2,14.5,S,24,4,3,small,adult,young adult
Yes,1st,male,1,1,52.5542,S,37,5,3,small,adult,adult
No,2nd,male,1,0,26,S,54,NS,2,small,adult,adult
No,3rd,male,0,0,7.25,S,19,NS,1,alone,adult,young adult
No,3rd,female,1,1,10.4625,S,29,NS,3,small,adult,young adult
No,1st,male,0,0,26.55,S,62,NS,1,alone,adult,senior
No,3rd,male,1,0,16.1,S,30,NS,2,small,adult,adult
No,3rd,female,0,2,20.2125,S,41,NS,3,small,adult,adult
Yes,3rd,female,0,2,15.2458,C,27,C,3,small,adult,young adult
Yes,1st,female,0,0,79.2,C,37,D,1,alone,adult,adult
Yes,1st,female,0,0,86.5,S,30,8,1,alone,adult,adult
Yes,1st,female,0,0,512.3292,C,38,3,1,alone,adult,adult
Yes,2nd,female,0,1,26,S,60,12,2,small,adult,senior
No,3rd,male,0,0,7.75,Q,26,NS,1,alone,adult,young adult
Yes,3rd,male,4,2,31.3875,S,3,15,7,medium,child,child
No,1st,male,1,1,79.65,S,52,NS,3,small,adult,adult
No,1st,male,0,0,89.44748196202532,S,45,NS,1,alone,adult,adult
No,3rd,female,0,0,7.75,Q,23,NS,1,alone,adult,young adult
No,2nd,male,0,0,10.5,S,36,NS,1,alone,adult,adult
No,3rd,male,4,1,39.6875,S,16,NS,6,medium,adult,young adult
Yes,3rd,male,1,0,7.775,S,25,15,2,small,adult,young adult
Yes,1st,female,0,1,153.4625,S,59,3,2,small,adult,adult
Yes,1st,female,0,0,135.6333,S,39,8,1,alone,adult,adult
No,1st,male,0,0,31,S,28,NS,1,alone,adult,young adult
Yes,3rd,male,0,0,13.378473295454546,S,25,15,1,alone,adult,young adult
Yes,2nd,female,0,1,19.5,S,41,14,2,small,adult,adult
No,1st,male,0,1,29.7,C,36,NS,2,small,adult,adult
Yes,3rd,female,0,0,7.75,Q,29,16,1,alone,adult,young adult
Yes,1st,female,1,0,77.9583,S,62,10,2,small,adult,senior
No,3rd,female,0,0,7.75,S,45,NS,1,alone,adult,adult
No,2nd,male,0,0,21.648108487084873,S,18,NS,1,alone,adult,young adult
No,3rd,male,4,1,29.125,Q,7,NS,6,medium,child,child
Yes,3rd,female,1,1,20.25,S,39,A,3,small,adult,adult
No,3rd,male,0,0,7.75,Q,65,NS,1,alone,adult,senior
No,3rd,male,0,0,7.8542,S,28,NS,1,alone,adult,young adult
No,3rd,male,0,0,9.5,S,16,NS,1,alone,adult,young adult
Yes,3rd,male,0,0,8.05,S,18,B,1,alone,adult,young adult
No,1st,male,0,0,26,S,57,NS,1,alone,adult,adult
No,3rd,male,0,0,8.6625,C,33,NS,1,alone,adult,adult
Yes,3rd,male,0,0,9.5,S,36,11,1,alone,adult,adult
No,3rd,male,0,0,7.8958,S,22,NS,1,alone,adult,young adult
Yes,2nd,male,0,0,13,S,41,10,1,alone,adult,adult
Yes,3rd,female,0,0,7.75,Q,22,13,1,alone,adult,young adult
Yes,1st,female,0,0,78.85,S,26,6,1,alone,adult,young adult
Yes,1st,female,1,0,91.0792,C,19,7,2,small,adult,young adult
No,2nd,male,0,0,12.875,C,36,NS,1,alone,adult,adult
No,3rd,female,0,0,8.85,S,24,NS,1,alone,adult,young adult
No,3rd,male,0,0,7.8958,S,24,NS,1,alone,adult,young adult
No,1st,male,0,0,27.7208,C,31,NS,1,alone,adult,adult
No,3rd,male,0,0,7.2292,C,35,NS,1,alone,adult,adult
No,1st,female,1,2,151.55,S,2,NS,4,small,child,child
Yes,1st,male,0,0,30.5,S,47,3,1,alone,adult,adult
Yes,1st,female,0,1,247.5208,C,50,6,2,small,adult,adult
Yes,3rd,female,0,0,7.75,Q,20,16,1,alone,adult,young adult
Yes,3rd,male,2,0,23.25,Q,24,16,3,small,adult,young adult
No,3rd,male,0,0,13.378473295454546,S,19,NS,1,alone,adult,young adult
Yes,2nd,female,0,0,12.35,Q,46,10,1,alone,adult,adult
No,3rd,male,0,0,8.05,S,28,NS,1,alone,adult,young adult
Yes,1st,male,1,2,151.55,S,0.92,11,4,small,child,child
Yes,1st,female,0,0,110.8833,C,42,4,1,alone,adult,adult
Yes,1st,female,1,0,108.9,C,22,8,2,small,adult,young adult
No,2nd,male,1,0,24,C,30,NS,2,small,adult,adult
Yes,1st,female,0,0,56.9292,C,31,1,1,alone,adult,adult
Yes,1st,female,0,0,83.1583,C,24,7,1,alone,adult,young adult
Yes,1st,female,2,2,262.375,C,18,4,5,medium,adult,young adult
No,2nd,female,1,1,26,S,26,NS,3,small,adult,young adult
No,3rd,male,0,0,7.8958,S,28,NS,1,alone,adult,young adult
No,2nd,male,1,1,26.25,S,47,NS,3,small,adult,adult
Yes,3rd,female,0,0,7.8542,S,26,13,1,alone,adult,young adult
Yes,2nd,female,1,0,26,S,24,12,2,small,adult,young adult
No,2nd,male,0,0,14,S,54,NS,1,alone,adult,adult
Yes,1st,female,0,2,164.8667,S,31,8,3,small,adult,adult
Yes,1st,female,1,1,134.5,C,39,3,3,small,adult,adult
No,3rd,male,0,0,7.25,S,22,NS,1,alone,adult,young adult
No,3rd,male,0,0,7.8958,S,27,NS,1,alone,adult,young adult
Yes,2nd,female,0,0,12.35,Q,30,13,1,alone,adult,adult
Yes,2nd,female,1,1,29,S,28,13,3,small,adult,young adult
No,3rd,male,8,2,69.55,S,19,NS,11,large,adult,young adult
Yes,1st,female,0,0,135.6333,C,36,8,1,alone,adult,adult
No,3rd,male,0,0,6.2375,S,61,NS,1,alone,adult,senior
Yes,2nd,female,0,0,13,S,36,10,1,alone,adult,adult
Yes,3rd,female,1,1,20.525,S,31,C,3,small,adult,adult
Yes,1st,female,0,1,57.9792,C,17,4,2,small,adult,young adult
Yes,3rd,female,2,0,23.25,Q,29,16,3,small,adult,young adult
No,1st,male,0,0,28.5,S,40,NS,1,alone,adult,adult
No,1st,male,0,1,153.4625,S,38,NS,2,small,adult,adult
No,3rd,male,2,0,18,S,15,NS,3,small,adult,young adult
Yes,1st,female,1,0,133.65,S,42,5,2,small,adult,adult
No,3rd,male,0,0,7.8958,S,30,NS,1,alone,adult,adult
No,1st,male,1,0,66.6,S,29,NS,2,small,adult,young adult
Yes,1st,female,0,0,134.5,C,41,3,1,alone,adult,adult
Yes,3rd,male,0,0,8.05,S,45,15,1,alone,adult,adult
No,1st,male,0,0,35.5,S,45,NS,1,alone,adult,adult
Yes,2nd,male,1,1,26,S,2,D,3,small,child,child
Yes,1st,female,3,2,263,S,24,10,6,medium,adult,young adult
No,2nd,male,0,0,13,S,27,NS,1,alone,adult,young adult
No,2nd,male,0,0,13,S,25,NS,1,alone,adult,young adult
No,2nd,male,0,0,13,S,38,NS,1,alone,adult,adult
Yes,2nd,female,0,0,13,S,18,11,1,alone,adult,young adult
Yes,2nd,female,0,0,13,S,39,9,1,alone,adult,adult
Yes,3rd,female,1,0,16.1,S,25,NA,2,small,adult,young adult
Yes,3rd,male,1,1,15.9,S,9,2,3,small,child,child
No,3rd,male,0,0,8.6625,S,42,NS,1,alone,adult,adult
No,3rd,male,0,0,9.225,S,23,NS,1,alone,adult,young adult
No,1st,male,0,0,35,S,43,NS,1,alone,adult,adult
No,3rd,male,1,1,7.2292,C,17,NS,3,small,adult,young adult
No,3rd,male,1,0,17.8,S,25,NS,2,small,adult,young adult
No,3rd,male,0,0,7.225,C,25,NS,1,alone,adult,young adult
No,3rd,male,0,0,9.5,S,28,NS,1,alone,adult,young adult
Yes,1st,female,0,1,55,S,22,6,2,small,adult,young adult
No,2nd,female,0,0,13,S,38,NS,1,alone,adult,adult
Yes,3rd,female,0,0,7.8792,Q,22,13,1,alone,adult,young adult
Yes,3rd,female,0,0,7.8792,Q,23,16,1,alone,adult,young adult
No,3rd,male,1,4,27.9,S,40,NS,6,medium,adult,adult
No,2nd,male,1,0,27.7208,C,29,NS,2,small,adult,young adult
No,3rd,female,0,1,14.4542,C,45,NS,2,small,adult,adult
No,3rd,male,0,0,7.05,S,35,NS,1,alone,adult,adult
No,3rd,male,1,0,15.5,Q,27,NS,2,small,adult,young adult
No,3rd,male,0,0,7.25,S,30,NS,1,alone,adult,adult
Yes,1st,female,1,0,75.25,C,60,5,2,small,adult,senior
Yes,3rd,female,0,0,7.2292,C,35,NA,1,alone,adult,adult
Yes,3rd,female,0,0,7.75,Q,26,D,1,alone,adult,young adult
Yes,1st,female,0,0,69.3,C,24,9,1,alone,adult,young adult
Yes,1st,male,1,0,55.4417,C,25,5,2,small,adult,young adult
No,3rd,male,1,0,6.4958,S,18,NS,2,small,adult,young adult
No,3rd,male,0,0,8.05,S,18,NS,1,alone,adult,young adult
No,1st,male,0,0,135.6333,C,22,NS,1,alone,adult,young adult
No,3rd,female,3,1,21.075,S,3,NS,5,medium,child,child
Yes,1st,female,1,0,82.1708,C,25,6,2,small,adult,young adult
Yes,3rd,female,0,0,7.25,S,22,13,1,alone,adult,young adult
No,1st,male,0,2,211.5,C,27,NS,3,small,adult,young adult
No,3rd,male,0,0,4.0125,C,20,NS,1,alone,adult,young adult
No,3rd,male,0,0,7.775,S,19,NS,1,alone,adult,young adult
Yes,1st,female,0,0,227.525,C,46,4,1,alone,adult,adult
Yes,3rd,female,0,2,15.7417,C,1,C,3,small,child,child
No,3rd,male,0,0,7.925,S,32,NS,1,alone,adult,adult
Yes,1st,female,1,0,52,S,35,8,2,small,adult,adult
No,3rd,male,0,0,7.8958,S,27,NS,1,alone,adult,young adult
No,2nd,male,0,0,73.5,S,21,NS,1,alone,adult,young adult
No,3rd,male,5,2,46.9,S,1,NS,8,large,child,child
Yes,2nd,female,0,0,13,S,36,9,1,alone,adult,adult
No,3rd,male,0,0,7.7292,Q,20,NS,1,alone,adult,young adult
Yes,2nd,female,0,0,12,C,17,12,1,alone,adult,young adult
Yes,1st,male,1,2,120,S,36,C,4,small,adult,adult
Yes,3rd,male,0,0,7.7958,S,21,A,1,alone,adult,young adult
No,3rd,male,2,0,7.925,S,28,NS,3,small,adult,young adult
Yes,1st,female,1,0,113.275,C,23,6,2,small,adult,young adult
Yes,3rd,female,0,2,16.7,S,24,13,3,small,adult,young adult
No,3rd,male,0,0,7.7958,S,22,NS,1,alone,adult,young adult
No,3rd,female,0,0,7.8542,S,31,NS,1,alone,adult,adult
No,2nd,male,0,0,26,S,46,NS,1,alone,adult,adult
No,2nd,male,0,0,10.5,S,23,NS,1,alone,adult,young adult
Yes,2nd,female,0,0,12.65,S,26,9,1,alone,adult,young adult
Yes,3rd,male,0,0,7.925,S,39,9,1,alone,adult,adult
No,3rd,male,0,0,8.05,S,26,NS,1,alone,adult,young adult
No,3rd,female,1,0,9.825,S,21,NS,2,small,adult,young adult
No,3rd,male,1,0,15.85,S,28,NS,2,small,adult,young adult
No,3rd,female,0,0,8.6625,S,20,NS,1,alone,adult,young adult
